"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"12";"Bento's materiais para construção - Aluguel de Mini Escavadeira";"Bentos";"OK";"36.584.554/0001-20";"(16) 3917-2326";"Bento";"Materiais de Construção";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"13";"Complexo Esportivo All Star Games";"Allstar";"OK";"22.803.778/0001-71";"(16) 98812-1278";"Rafael";"";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"14";"Fava - Comida de Verdade";"Fava";"VERIFICAR CATEGORIA";"11.116.692/0001-54";"(16) 3900-0484";"Débora";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"15";"Bar e Lanchonete do Jefferson";"Bar do Jefferson";"OK";"43.064.843/0001-64";"(16) 3965-2141";"Jefferson";"Bar";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"16";"Bambulandia Moveis Rusticos";"Babulândia";"OK";"06.039.772/0001-13";"(16) 3617-4065";"";"Madeiras";"Ribeirão Preto";"PAP";"Frio";"";"Empresas Gerais"
"17";"Vilagem Classe A";"Vilagem Classe A";"NOME A VALIDAR";"";"";"";"";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"18";"Rio Motos";"Rio Motos";"OK";"38.328.702/0001-71";"(16) 3285-1836";"";"Loja de motos";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"19";"Pradinho";"Pradinho";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"20";"Durão Rolamentos";"Durão";"OK";"55.955.793/0001-94";"(16) 3993-9300";"";"Estoque";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"21";"Alliance Piscinas | Vinil, Filtros e Motobombas";"Aliança Piscina";"OK";"29.505.457/0001-30";"(16) 4009-8199";"";"Loja de Piscina";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"22";"Girotti Componentes e Sistemas de Injeção Caterpillar";"Girote Injeção a Diesel";"NOME A VALIDAR";"15.315.933/0001-45";"(16) 99755-5566";"";"Industria";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"23";"Indoor Cabeleireiros";"Indoor Cabeleireiros";"OK";"10.659.062/0001-63";"(16) 99613-3626";"";"Cabeleireiros";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"24";"Menil Autopeças";"Menu Autopeças";"NOME A VALIDAR";"";"";"";"Autopeças";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"25";"Grupo Cargo Polo";"Grupo Cargo Polo";"OK";"";"";"";"Transportadora/Logística";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"26";"Femac Brasil";"Femac Brasil";"OK";"09.266.030/0001-19";"(16) 3102-8900";"";"Indústria/Metalurgia";"Ribeirão Preto";"PAP";"Morno";"";"Empresas Gerais"
"27";"Martifer";"Martifer";"OK";"";"";"";"Indústria/Metalurgia";"Ribeirão Preto";"";"";"";"Empresas Gerais"
"28";"Veroo - Cafés Especiais";"A Fábrica da Vero Cafés";"OK";"31.509.062/0001-57";"(16) 99305-0398";"";"Distribuidora de alimentos";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"29";"Varejo da Limpeza";"Varejo da Limpeza";"OK";"35.715.199/0003-80";"(16) 3916-5144";"";"Loja";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"30";"Rei da Picanha";"Rei da Picanha";"OK";"07.763.158/0001-62";"(16) 3916-2829";"";"Açougue";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"31";"Fava Comida de Verdade";"Fava Comida de Verdade";"VERIFICAR CATEGORIA";"";"";"";"Restaurante";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"32";"Camila Almeida Salão de Beleza";"Camila Almeida Salão de Beleza";"OK";"31.265.495/0001-04";"(16) 99242-6226";"";"Salão de Beleza";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"33";"Petland";"Petland";"OK";"18.745.792/0001-99";"(16) 3289-7464";"";"Pet";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"34";"Boi Bom";"Boi Bom";"OK";"";"";"";"Açougue";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"35";"Joiois";"Joiois";"NOME A VALIDAR";"";"";"";"Relojoaria/Joalheria";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"36";"Rib Time - Concerto de Relógios";"Ribitime";"OK";"14.621.971/0001-63";"(16) 3289-2466";"";"Loja Relogio";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"37";"Punch";"Punch";"OK";"357982150001-18";"(34) 3224-4444";"";"Hamburgueria";"Ribeirão Preto";"PAP";"Morno";"CNPJ nao confere no digito verificador: reconferir antes de usar.";"Lojas/Comércios"
"38";"Prato Paulista Restaurante e Marmitaria";"Prato Paulista";"OK";"02.505.800/0001-90";"(16) 99313-2194";"";"Food";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"39";"Armazém Barroco";"Armazém";"OK";"46.457.734/0003-67";"(16) 3911-1711";"";"Armazem";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"40";"Augusta";"Augusta";"NOME A VALIDAR";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"41";"Fina Gourmet";"Fina Gourmet";"OK";"";"";"";"Restaurante";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"42";"Perfect Car";"Perfect Car";"OK";"39.593.359/0001-55";"(16) 3236-0255";"";"Carro";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"43";"Fisoforma";"Fisoforma";"NOME A VALIDAR";"05.883.818/0001-13";"(16) 99273-2320";"";"Estetica";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"44";"Piper";"Piper";"NOME A VALIDAR";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"45";"Branca Flores";"Branca Flores";"OK";"46.914.997/0001-96";"(16) 98870-9137";"";"Flores";"Ribeirão Preto";"PAP";"Morno";"";"Lojas/Comércios"
"46";"Robusti";"Robusti";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"47";"Sushi Fã";"Sushi Fã";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"48";"Canomi";"Canomi";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"49";"Porti Horse";"Porti Horse";"NOME A VALIDAR";"";"";"";"Informática/TI";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"50";"City Invictus";"City Invictus";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"51";"Posto CBW";"Posto CBW";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"52";"Garar 78";"Garar 78";"NOME A VALIDAR";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"53";"Tom Tintas";"Tom Tintas";"OK";"";"";"";"Tintas";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"54";"Atenas";"Atenas";"NOME A VALIDAR";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"55";"Tapeçaria Chia";"Tapeçaria Chia";"NOME A VALIDAR";"";"";"";"Móveis";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"56";"Vila Chique";"Vila Chique";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"57";"RF Facas";"RF Facas";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"58";"Shopping dos Animais";"Shopping dos Animais";"OK";"";"";"";"Pet shop";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"59";"Eletromontagem";"Eletromontagem";"NOME A VALIDAR";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"60";"Indústria Gráfica";"Indústria Gráfica";"NOME A VALIDAR";"";"";"";"Gráfica";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"61";"FMX";"FMX";"OK";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"62";"Vitória";"Vitória";"VERIFICAR CATEGORIA";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"63";"La Vitória";"La Vitória";"VERIFICAR CATEGORIA";"";"";"";"";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"64";"Auto Mecânica";"Auto Mecânica";"NOME A VALIDAR";"";"";"";"Oficina mecânica";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"65";"Anchieta Pet Shop";"Anchieta Pet Shop";"OK";"";"";"";"Pet shop";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"66";"Panificadora Progresso 2";"Panificadora Progresso 2";"OK";"";"";"";"Padaria";"Ribeirão Preto";"";"";"";"Lojas/Comércios"
"67";"Edilson Salgados";"Edilson Salgados";"NOVO";"18.659.546/0001-14";"(16) 3011-1155";"Andreia";"Buffet/Eventos";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"68";"Component assistencia tecnica";"Component assistencia tecnica";"NOVO";"15.621.383/0001-92";"(16) 99195-6973";"";"Assistência técnica";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"69";"New Tons Beleza";"New Tons Beleza";"NOVO";"09.813.306/0001-31";"(16) 98253-2967";"Inácio";"Salão de beleza";"Ribeirão Preto";"PAP";"Quente";"";"Adicionado manualmente"
"70";"Salgadinhos Drieli";"Salgadinhos Drieli";"NOVO";"68.019.896/0001-94";"(16) 99241-4323";"Cristiano Bezerra";"Buffet/Eventos";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"71";"Mayke M. Sitta Confecções";"Mayke M. Sitta Confecções";"NOVO";"05.553.472/0001-95";"(16) 99618-2563";"";"Uniformes/Brindes";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"72";"Panificadora Catedral";"Panificadora Catedral";"NOVO";"07.328.470/0001-28";"(16) 99174-0055";"Fábio";"Padaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"73";"Bru tech";"Bru tech";"NOVO";"30.353.055/0001-46";"(16) 99416-4364";"Bruno";"Assistência técnica";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"74";"Fatima do Real - Presentes e Utilidades para o Lar";"Fatima do Real - Presentes e Utilidades para o Lar";"NOVO";"32.537.191/0001-11";"(16) 3877-3128";"Fatima";"Presentes/Utilidades";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"75";"Quiosque dos Acessporios para celular";"Quiosque dos Acessporios para celular";"NOVO";"64.988.507/0001-88";"(16) 98801-9040";"Sr. Roberto";"Assistência técnica";"Ribeirão Preto";"PAP";"Frio";"";"Adicionado manualmente"
"76";"Edilson Salgados";"Edilson Salgados";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 67; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"77";"Component assistencia tecnica";"Component assistencia tecnica";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 68; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"78";"New Tons Beleza";"New Tons Beleza";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 69; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"79";"Salgadinhos Drieli";"Salgadinhos Drieli";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 70; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"80";"Mayke M. Sitta Confecções";"Mayke M. Sitta Confecções";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 71; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"81";"Panificadora Catedral";"Panificadora Catedral";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 72; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"82";"Bru tech";"Bru tech";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 73; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"83";"Fatima do Real - Presentes e Utilidades para o Lar";"Fatima do Real - Presentes e Utilidades para o Lar";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 74; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"84";"Quiosque dos Acessporios para celular";"Quiosque dos Acessporios para celular";"DUPLICADO";"";"";"";"";"";"";"";"Mesma empresa do item 75; dados uteis ja foram levados para la. Nao ligar duas vezes.";"Adicionado manualmente"
"85";"Padaria Villa Reis";"Padaria Villa Reis";"NOVO";"53.135.691/0001-05";"(16) 3877-4341";"Julio";"Padaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"86";"3D KIDS BRINQUEDOS";"3D KIDS BRINQUEDOS";"NOVO";"";"(16) 3900-0328";"";"Brinquedos";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"87";"CASA CAIRÚ - LOJA DE MOVEIS";"CASA CAIRÚ - LOJA DE MOVEIS";"NOVO";"";"(16) 99214-7485";"";"Móveis";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"88";"Olivvare Móveis Planejados";"Olivvare Móveis Planejados";"NOVO";"";"(16) 99157-9179";"";"Móveis";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"89";"Mimado Pet Care";"Mimado Pet Care";"NOVO";"";"(16) 99160-8566";"";"Pet shop";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"90";"Emporio Tartufo";"Emporio Tartufo";"NOVO";"";"(16) 99190-8656";"";"";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"91";"Dona Flor Casa";"Dona Flor Casa";"NOVO";"";"(16) 3610-6821";"";"Floricultura";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"92";"Mr Suits - Alfaiataria";"Mr Suits - Alfaiataria";"NOVO";"";"(16) 99102-7734";"";"Loja de roupas";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"93";"Mundo Arabé";"Mundo Arabé";"NOVO";"";"(16) 99950-2240";"";"";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"94";"Meet Espetaria & bar";"Meet Espetaria & bar";"NOVO";"";"(16) 99640-1072";"";"Hamburgueria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"95";"Cozinha da Maroua";"Cozinha da Maroua";"NOVO";"";"(16) 99186-1341";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"96";"Biskoitaria - Cookies";"Biskoitaria - Cookies";"NOVO";"";"(16) 99103-8644";"";"Confeitaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"97";"Panificadora Vó Luzia";"Panificadora Vó Luzia";"NOVO";"";"(16) 99715-8029";"";"Padaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"98";"Restaurante e Marmitaria TIA KA unidade 01";"Restaurante e Marmitaria TIA KA unidade 01";"NOVO";"";"(16) 99122-6718";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"99";"Restaurante Mundo Fitness Gourmet";"Restaurante Mundo Fitness Gourmet";"NOVO";"";"(16) 3421-5555";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"100";"Panificadora Sorriso";"Panificadora Sorriso";"NOVO";"";"(16) 3624-2892";"";"Padaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"101";"Oásis Tabacaria";"Oásis Tabacaria";"NOVO";"";"(16) 99614-3653";"";"Tabacaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"102";"Salsa's Restaurante";"Salsa's Restaurante";"NOVO";"";"(16) 3235-1404";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"103";"JP SteakHouse";"JP SteakHouse";"NOVO";"";"(16) 3446-4440";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"104";"ZERO11 Burger";"ZERO11 Burger";"NOVO";"";"(16) 4042-1576";"";"Hamburgueria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"105";"Santa ines restaurante";"Santa ines restaurante";"NOVO";"";"(16) 99141-2114";"";"Restaurante";"Ribeirão Preto";"PAP";"Quente";"";"Adicionado manualmente"
"106";"Lanchonete Copa Quente";"Lanchonete Copa Quente";"NOVO";"";"(16) 99222-5026";"";"Hamburgueria";"Ribeirão Preto";"PAP";"Frio";"";"Adicionado manualmente"
"107";"HECHO - Cozinha dos Mares";"HECHO - Cozinha dos Mares";"NOVO";"";"(16) 3900-1339";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"108";"Picanha Fatiada Grill";"Picanha Fatiada Grill";"NOVO";"";"(16) 99624-0028";"";"Açougue";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"109";"Chef Nomade";"Chef Nomade";"NOVO";"";"(16) 99630-7890";"";"";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"110";"Restaurante Viana Do Castelo";"Restaurante Viana Do Castelo";"NOVO";"";"(16) 99164-8219";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"111";"Quintal Gio Massas";"Quintal Gio Massas";"NOVO";"";"(16) 99121-7003";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"112";"Restaurante da Tulha";"Restaurante da Tulha";"NOVO";"";"(16) 99209-8941";"";"Restaurante";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"113";"Casa de Bolos - Guaporé";"Casa de Bolos - Guaporé";"NOVO";"";"(16) 3900-0179";"";"Confeitaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"114";"Padaria Cacioli";"Padaria Cacioli";"NOVO";"";"(16) 3329-6078";"";"Padaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"115";"Ekopress Soluções Gráficas";"Ekopress Soluções Gráficas";"NOVO";"";"(16) 3329-5696";"";"Gráfica";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"116";"Giga's Multicópias e Papelaria";"Giga's Multicópias e Papelaria";"NOVO";"";"(16) 99749-2365";"";"Papelaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"117";"Floricultura Hyles";"Floricultura Hyles";"NOVO";"";"(16) 99757-5001";"";"Floricultura";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"118";"Purple Açaí Loja 2";"Purple Açaí Loja 2";"NOVO";"";"(16) 99461-4679";"";"Açaí/Sorveteria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"119";"Vestido de festa - Jd Independência";"Vestido de festa - Jd Independência";"NOVO";"";"(16) 99397-3916";"";"Loja de roupas";"Ribeirão Preto";"PAP";"Frio";"";"Adicionado manualmente"
"120";"Guina's Burguer";"Guina's Burguer";"NOVO";"";"(16) 3615-9391";"";"Hamburgueria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"121";"Dalris Lanches";"Dalris Lanches";"NOVO";"";"(16) 3446-1680";"";"Hamburgueria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"122";"Pizzaria Rei";"Pizzaria Rei";"NOVO";"";"(16) 98817-0617";"";"Pizzaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"123";"Dex Hamburgueria";"Dex Hamburgueria";"NOVO";"";"(16) 99243-5343";"";"Hamburgueria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"124";"Panificadora Paris";"Panificadora Paris";"NOVO";"";"(16) 3628-1636";"";"Padaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"125";"Só Poste Independência";"Só Poste Independência";"NOVO";"";"(16) 3969-3157";"";"Materiais elétricos";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"126";"Tavico Supermercado";"Tavico Supermercado";"NOVO";"";"(16) 3969-5195";"";"Supermercado";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"127";"Fortemak - Peças";"Fortemak - Peças";"NOVO";"";"(16) 2133-6253";"";"Autopeças";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"128";"Rocha’s depósito de bebidas";"Rocha’s depósito de bebidas";"NOVO";"";"(16) 99245-4733";"";"Distribuidora de bebidas";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"129";"Retifica Souza";"Retifica Souza";"NOVO";"";"(16) 3622-0100";"";"Autopeças";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"130";"Depósito de Bebidas 100 Limites";"Depósito de Bebidas 100 Limites";"NOVO";"";"(16) 99429-2755";"";"Distribuidora de bebidas";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"131";"JR BAR";"JR BAR";"NOVO";"";"(16) 99266-3960";"";"Bar";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"132";"Adega da Bia";"Adega da Bia";"NOVO";"";"(16) 99219-8910";"";"Distribuidora de bebidas";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"133";"MR Distribuidora Adega e Tabacaria - Loja 3";"MR Distribuidora Adega e Tabacaria - Loja 3";"NOVO";"";"(16) 99282-9272";"";"Distribuidora de bebidas";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"134";"Panificadora Paraiba";"Panificadora Paraiba";"NOVO";"";"(16) 3615-1947";"";"Padaria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"135";"O Paulistinha Delivery - Sanduíches";"O Paulistinha Delivery - Sanduíches";"NOVO";"";"(16) 99755-2206";"";"";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"136";"GR IMPORTS";"GR IMPORTS";"NOVO";"";"(16) 99363-7639";"";"";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"137";"Mapogo's Hotel Pet";"Mapogo's Hotel Pet";"NOVO";"";"(16) 98174-8555";"";"Hotel/Motel";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"138";"Micca Ballet";"Micca Ballet";"NOVO";"";"(16) 3623-5858";"";"Academia";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"139";"Villa 8";"Villa 8";"NOVO";"";"(16) 99722-4122";"";"";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"140";"Amazon Spa";"Amazon Spa";"NOVO";"";"(16) 3911-2021";"";"Estética";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"141";"Calê Home";"Calê Home";"NOVO";"";"(16) 3636-6252";"";"Móveis";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"142";"Di Matteo Açaí";"Di Matteo Açaí";"NOVO";"";"(16) 99723-8472";"";"Açaí/Sorveteria";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"143";"Closet RP";"Closet RP";"NOVO";"";"(16) 99744-3330";"";"Loja de roupas";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
"144";"Giovanna Cais";"Giovanna Cais";"NOVO";"";"(16) 99778-9848";"";"";"Ribeirão Preto";"PAP";"Morno";"";"Adicionado manualmente"
