"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"11";"Auto Center Tupã";"Auto Center Tupã";"NOVO";"";"(16) 98198-7177";"";"Oficina mecânica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"12";"Auto Socorro Ribeirão";"Auto Socorro Ribeirão";"NOVO";"";"(16) 99321-3008";"";"Auto socorro";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"13";"Lufa Comunicação Visual";"Lufa Comunicação Visual";"NOVO";"";"(16) 3630-9554";"";"Comunicação visual";"Ribeirão Preto";"";"";"R. Aurora, 1660 - Vila Tibério (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"14";"Imprimix Ribeirão Preto";"Imprimix Ribeirão Preto";"NOVO";"";"(16) 3325-6665";"";"Gráfica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"15";"Guarino's Comunicação Visual";"Guarino's Comunicação Visual";"NOVO";"";"(16) 3635-4761";"";"Comunicação visual";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"16";"Bem Viver Odonto";"Bem Viver Odonto";"NOVO";"";"(16) 3877-2255";"";"Clínica odontológica";"Ribeirão Preto";"";"";"R. Tereza Cristina, 30 (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"17";"Clínica Medicar";"Clínica Medicar";"NOVO";"";"(16) 3512-4477";"";"Clínica médica";"Ribeirão Preto";"";"";"R. Saldanha Marinho, 281 - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"18";"Clínica Orthus";"Clínica Orthus";"NOVO";"";"(16) 3625-1183";"";"Clínica odontológica";"Ribeirão Preto";"";"";"R. Visconde do Rio Branco, 924 - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"19";"Clínica Doqt";"Clínica Doqt";"NOVO";"";"(16) 3877-4700";"";"Clínica odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"20";"Sempre Sorrindo Ribeirão Preto";"Sempre Sorrindo Ribeirão Preto";"NOVO";"";"(16) 3632-4459";"";"Clínica odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"21";"Odontoclinic";"Odontoclinic";"NOVO";"";"(16) 3610-5441";"";"Clínica odontológica";"Ribeirão Preto";"";"";"Av. Independência, 1570 - Alto da Boa Vista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"22";"Skyfit Academia";"Skyfit Academia";"NOVO";"";"(16) 99705-3380";"";"Academia";"Ribeirão Preto";"";"";"R. Silveira Martins, 774 - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"23";"Crossfit Celeiro";"Crossfit Celeiro";"NOVO";"";"(16) 99638-0108";"";"Academia";"Ribeirão Preto";"";"";"Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"24";"Serralheria Alto Estilo";"Serralheria Alto Estilo";"NOVO";"";"(16) 3637-3575";"";"Serralheria";"Ribeirão Preto";"";"";"R. Jorge Lima, 280 (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"25";"Vidraçaria Stilo";"Vidraçaria Stilo";"NOVO";"";"(16) 98156-0904";"";"Vidraçaria";"Ribeirão Preto";"";"";"R. Onze de Agosto, 1966 - Campos Elísios (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"26";"RP Vidraçaria";"RP Vidraçaria";"NOVO";"";"(16) 99118-1147";"";"Vidraçaria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"27";"Vidraçaria Ribeirão Preto";"Vidraçaria Ribeirão Preto";"NOVO";"";"(16) 98156-0244";"";"Vidraçaria";"Ribeirão Preto";"";"";"R. João Bim, 882 (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"28";"Panificadora da Lapa";"Panificadora da Lapa";"NOVO";"";"(16) 3626-4277";"";"Padaria";"Ribeirão Preto";"";"";"R. Marquês de Pombal - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"29";"Panificadora Panetutti";"Panificadora Panetutti";"NOVO";"";"(16) 3617-2022";"";"Padaria";"Ribeirão Preto";"";"";"R. Abdo Calil, 105 - Parque Anhanguera (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"30";"Panificadora Nosso Pão";"Panificadora Nosso Pão";"NOVO";"";"(16) 3625-1821";"";"Padaria";"Ribeirão Preto";"";"";"R. Florêncio de Abreu - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"31";"Panificadora São Rafael";"Panificadora São Rafael";"NOVO";"";"(16) 3620-0818";"";"Padaria";"Ribeirão Preto";"";"";"Av. Caramuru - Jardim Sumaré (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"32";"Panificadora Braghetto";"Panificadora Braghetto";"NOVO";"";"(16) 3627-6365";"";"Padaria";"Ribeirão Preto";"";"";"R. Domingos Padovan, 839 - Jardim Anhanguera (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"33";"Panificadora São Lucas";"Panificadora São Lucas";"NOVO";"";"(16) 3629-1635";"";"Padaria";"Ribeirão Preto";"";"";"R. Geraldo Ramos - Jardim Roberto Benedetti (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"34";"Panificadora Jardim Paulista";"Panificadora Jardim Paulista";"NOVO";"";"(16) 3635-7596";"";"Padaria";"Ribeirão Preto";"";"";"R. Henrique Dumont - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"35";"Bunge Alimentos";"Bunge Alimentos";"NOVO";"";"(16) 3995-1280";"";"Alimentos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"36";"Supermercado Brasil";"Supermercado Brasil";"NOVO";"";"(16) 3626-7936";"";"Supermercado";"Ribeirão Preto";"";"";"Av. Brasil - Vila Elisa (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"37";"Savegnago Supermercados";"Savegnago Supermercados";"NOVO";"";"(16) 3914-9500";"";"Supermercado";"Ribeirão Preto";"";"";"Av. Pio XII, 589 - Vila Virgínia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"38";"Supermercado Dia Dia";"Supermercado Dia Dia";"NOVO";"";"(16) 98129-4200";"";"Supermercado";"Ribeirão Preto";"";"";"Av. Guadalajara - Parque Industrial Lagoinha (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"39";"Mercado Legal";"Mercado Legal";"NOVO";"";"(16) 3966-7278";"";"Supermercado";"Ribeirão Preto";"";"";"R. Rio Grande do Norte - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"40";"Supermercado Mineirinho";"Supermercado Mineirinho";"NOVO";"";"(16) 3974-1991";"";"Supermercado";"Ribeirão Preto";"";"";"R. Dr. Jarbas Martins Viana - Quintino Facci II (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"41";"Drogaria São Paulo";"Drogaria São Paulo";"NOVO";"";"(16) 3289-9888";"";"Farmácia";"Ribeirão Preto";"";"";"Av. Pres. Vargas - Alto da Boa Vista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"42";"Drogaria São Carlos";"Drogaria São Carlos";"NOVO";"";"(16) 3974-7828";"";"Farmácia";"Ribeirão Preto";"";"";"R. Dr. Demétrio Chaguri - Quintino Facci II (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"43";"Droga Raia";"Droga Raia";"NOVO";"";"(16) 3620-6894";"";"Farmácia";"Ribeirão Preto";"";"";"Av. Pres. Vargas - Alto da Boa Vista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"44";"Drogaria São Mateus";"Drogaria São Mateus";"NOVO";"";"(16) 3632-1777";"";"Farmácia";"Ribeirão Preto";"";"";"Av. Nove de Julho, 1493 (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"45";"Drogão Super";"Drogão Super";"NOVO";"";"(16) 3913-3300";"";"Farmácia";"Ribeirão Preto";"";"";"Av. Independência - Alto da Boa Vista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"46";"Drogaria Luzitana";"Drogaria Luzitana";"NOVO";"";"(16) 3637-0461";"";"Farmácia";"Ribeirão Preto";"";"";"Av. Luzitana - Parque Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"47";"Drogal Farmacêutica";"Drogal Farmacêutica";"NOVO";"";"(16) 3630-3000";"";"Farmácia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"48";"Drogaria São Francisco";"Drogaria São Francisco";"NOVO";"";"(16) 3610-4940";"";"Farmácia";"Ribeirão Preto";"";"";"R. Quintino Bocaiúva - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"49";"Gigios Restaurante";"Gigios Restaurante";"NOVO";"";"(16) 3610-4143";"";"Restaurante";"Ribeirão Preto";"";"";"R. Barão do Amazonas, 1290 - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"50";"Restaurante Tradicionale";"Restaurante Tradicionale";"NOVO";"";"(16) 3637-8730";"";"Restaurante";"Ribeirão Preto";"";"";"R. Paulo de Frontim - Vila Virgínia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"51";"Restaurante Pantoni";"Restaurante Pantoni";"NOVO";"";"(16) 3941-1503";"";"Restaurante";"Ribeirão Preto";"";"";"R. Florêncio de Abreu, 1187 - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"52";"Salute Restaurante";"Salute Restaurante";"NOVO";"";"(16) 3627-0434";"";"Restaurante";"Ribeirão Preto";"";"";"R. Camilo de Mattos, 1721 - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"53";"Refriart";"Refriart";"NOVO";"";"(16) 3931-3783";"";"Refrigeração";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"54";"Fashion Kids Salão de Beleza";"Fashion Kids Salão de Beleza";"NOVO";"";"(16) 3234-8214";"";"Salão de beleza";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"55";"João Luiz Cabeleireiros";"João Luiz Cabeleireiros";"NOVO";"";"(16) 3931-3016";"";"Cabeleireiro";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"56";"Barba Negra Barbearia";"Barba Negra Barbearia";"NOVO";"";"(16) 3289-5812";"";"Barbearia";"Ribeirão Preto";"";"";"Av. Independência - Jardim Sumaré (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"57";"Geni Cabeleireira";"Geni Cabeleireira";"NOVO";"";"(16) 3621-0747";"";"Cabeleireiro";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"58";"Ótica Jardins";"Ótica Jardins";"NOVO";"";"(16) 3627-0964";"";"Ótica";"Ribeirão Preto";"";"";"R. Camilo de Mattos - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"59";"Ótica Visually";"Ótica Visually";"NOVO";"";"(16) 3941-6011";"";"Ótica";"Ribeirão Preto";"";"";"R. Rui Barbosa - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"60";"Ótica Visolux";"Ótica Visolux";"NOVO";"";"(16) 3914-3192";"";"Ótica";"Ribeirão Preto";"";"";"R. Rangel Pestana - Vila Virgínia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"61";"Relojoaria Ortolan";"Relojoaria Ortolan";"NOVO";"";"(16) 3637-0496";"";"Relojoaria";"Ribeirão Preto";"";"";"R. Dr. João Guião, 1104 - Vila Virgínia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"62";"Óptica Conceito";"Óptica Conceito";"NOVO";"";"(16) 3237-4920";"";"Ótica";"Ribeirão Preto";"";"";"Av. Independência - Jardim Sumaré (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"63";"Ipiranga Pet Shop";"Ipiranga Pet Shop";"NOVO";"";"(16) 3021-3782";"";"Pet shop";"Ribeirão Preto";"";"";"R. Gen. Câmara, 2084 - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"64";"Pet Shop Rural";"Pet Shop Rural";"NOVO";"";"(16) 3622-0681";"";"Pet shop";"Ribeirão Preto";"";"";"R. Javari - Geraldo Correia de Carvalho (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"65";"Hospital Veterinário Cat Dog";"Hospital Veterinário Cat Dog";"NOVO";"";"(16) 3632-6657";"";"Veterinária";"Ribeirão Preto";"";"";"R. Duque de Caxias - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"66";"A Toca Clínica Veterinária";"A Toca Clínica Veterinária";"NOVO";"";"(16) 3610-6167";"";"Veterinária";"Ribeirão Preto";"";"";"R. Amadeu Amaral - Vila Seixas (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"67";"Endovet";"Endovet";"NOVO";"";"(16) 3632-2778";"";"Veterinária";"Ribeirão Preto";"";"";"R. João Ramalho, 610 - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"68";"Cão Amigo";"Cão Amigo";"NOVO";"";"(16) 3638-8131";"";"Pet shop";"Ribeirão Preto";"";"";"R. Dr. Demétrio Chaguri - Quintino Facci II (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"69";"Clínica Veterinária Filhotes e Mascotes";"Clínica Veterinária Filhotes e Mascotes";"NOVO";"";"(16) 3966-2515";"";"Veterinária";"Ribeirão Preto";"";"";"Av. Dom Pedro I - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"70";"Univet Unidade Integrada de Veterinária";"Univet Unidade Integrada de Veterinária";"NOVO";"";"(16) 3630-4161";"";"Veterinária";"Ribeirão Preto";"";"";"R. 21 de Abril, 20 - Vila Tibério (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"71";"Ribervet Produtos Veterinários";"Ribervet Produtos Veterinários";"NOVO";"";"(16) 3624-6123";"";"Produtos veterinários";"Ribeirão Preto";"";"";"R. Gildo Ignácio - Nova Ribeirânia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"72";"Só Colchões";"Só Colchões";"NOVO";"";"(16) 3961-1012";"";"Colchões";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"73";"Móveis Paulista";"Móveis Paulista";"NOVO";"";"(16) 3632-2805";"";"Móveis";"Ribeirão Preto";"";"";"Av. Pres. Vargas - Jardim América (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"74";"Top Colchões";"Top Colchões";"NOVO";"";"(16) 3632-1090";"";"Colchões";"Ribeirão Preto";"";"";"R. Saldanha Marinho - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"75";"Móveis Carvalho";"Móveis Carvalho";"NOVO";"";"(16) 3625-4649";"";"Móveis";"Ribeirão Preto";"";"";"R. Goiás - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"76";"Brasplan Informática";"Brasplan Informática";"NOVO";"";"(16) 3632-0989";"";"Informática";"Ribeirão Preto";"";"";"Av. Meira Júnior - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"77";"Mundial Informática";"Mundial Informática";"NOVO";"";"(16) 99761-4052";"";"Informática";"Ribeirão Preto";"";"";"R. Antônio Ribeiro de Rezende - Jardim Antártica (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"78";"Eletrônica Rios";"Eletrônica Rios";"NOVO";"";"(16) 3635-4053";"";"Eletrônica";"Ribeirão Preto";"";"";"Av. Independência - Vila Seixas (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"79";"Rai Acessórios";"Rai Acessórios";"NOVO";"";"(16) 3610-0825";"";"Acessórios celular";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"80";"AATech Soluções Tecnológicas";"AATech Soluções Tecnológicas";"NOVO";"";"(16) 3103-3011";"";"TI";"Ribeirão Preto";"";"";"R. José de Alencar - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"81";"R C Service";"R C Service";"NOVO";"";"(16) 3966-3724";"";"Assistência técnica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"82";"Route 66";"Route 66";"NOVO";"";"(16) 3237-3956";"";"Informática";"Ribeirão Preto";"";"";"R. Itapurá - Jardim Paulista (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"83";"Fábrica do Lanche";"Fábrica do Lanche";"NOVO";"";"(16) 3975-1787";"";"Lanchonete";"Ribeirão Preto";"";"";"R. Genoveva Onofre Barban - Planalto Verde (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"84";"Serjão Lanches";"Serjão Lanches";"NOVO";"";"(16) 3635-0315";"";"Lanchonete";"Ribeirão Preto";"";"";"R. Prudente de Morais - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"85";"Nonos Lanches";"Nonos Lanches";"NOVO";"";"(16) 3637-5686";"";"Lanchonete";"Ribeirão Preto";"";"";"R. Dr. João Guião - Vila Virgínia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"86";"Du Lanches";"Du Lanches";"NOVO";"";"(16) 3633-7830";"";"Lanchonete";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"87";"Dryanle Lanches";"Dryanle Lanches";"NOVO";"";"(16) 3633-2116";"";"Lanchonete";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"88";"Macal Lanches";"Macal Lanches";"NOVO";"";"(16) 3630-0333";"";"Lanchonete";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"89";"Ro Lanches";"Ro Lanches";"NOVO";"";"(16) 3630-5015";"";"Lanchonete";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"90";"Dadalt Corretora de Seguros";"Dadalt Corretora de Seguros";"NOVO";"";"(16) 3931-4085";"";"Corretora de seguros";"Ribeirão Preto";"";"";"Av. Nove de Julho - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"91";"Sociedade União dos Proprietários";"Sociedade União dos Proprietários";"NOVO";"";"(16) 3610-4040";"";"Associação";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"92";"ADW Corretora de Seguros";"ADW Corretora de Seguros";"NOVO";"";"(16) 3625-1261";"";"Corretora de seguros";"Ribeirão Preto";"";"";"R. Abrahão Issa Halack - Ribeirânia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"93";"Lago Imóveis";"Lago Imóveis";"NOVO";"";"(16) 3211-8330";"";"Imobiliária";"Ribeirão Preto";"";"";"R. Altino Arantes - Jardim Sumaré (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"94";"Canadá Imóveis";"Canadá Imóveis";"NOVO";"";"(16) 3610-5166";"";"Imobiliária";"Ribeirão Preto";"";"";"R. Florêncio de Abreu - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"95";"Marmoraria Brasil";"Marmoraria Brasil";"NOVO";"";"(16) 3996-9000";"";"Marmoraria";"Ribeirão Preto";"";"";"Av. Brasil - Vila Elisa (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"96";"Marmoraria Belém";"Marmoraria Belém";"NOVO";"";"(16) 3963-2484";"";"Marmoraria";"Ribeirão Preto";"";"";"Av. Dom Pedro I - Ipiranga (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"97";"FBR Aço e Ferragens Armadas";"FBR Aço e Ferragens Armadas";"NOVO";"";"(16) 3628-5547";"";"Ferragens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"98";"Faria Marcenaria";"Faria Marcenaria";"NOVO";"";"(16) 3623-9012";"";"Marcenaria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"99";"Max Frio Ar Condicionado";"Max Frio Ar Condicionado";"NOVO";"";"(16) 3914-3621";"";"Ar condicionado";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"100";"Climater";"Climater";"NOVO";"";"(16) 3635-8857";"";"Climatização";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"101";"Extinset";"Extinset";"NOVO";"";"(16) 3234-0890";"";"Controle de pragas";"Ribeirão Preto";"";"";"R. Pinheiro Machado - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"102";"Plásticos Nave";"Plásticos Nave";"NOVO";"";"(16) 3625-4811";"";"Embalagens";"Ribeirão Preto";"";"";"R. Anália Franco, 406 - Vila Virgínia (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"103";"Embalagens Rodrigues Melo";"Embalagens Rodrigues Melo";"NOVO";"";"(16) 3632-7538";"";"Embalagens";"Ribeirão Preto";"";"";"Av. Dr. Francisco Junqueira - Jardim Mosteiro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"104";"Caçola Embalagens";"Caçola Embalagens";"NOVO";"";"(16) 4009-6800";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"105";"Della Embalagens";"Della Embalagens";"NOVO";"";"(16) 3626-9515";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"106";"Plast Rib";"Plast Rib";"NOVO";"";"(16) 3961-1099";"";"Embalagens";"Ribeirão Preto";"";"";"R. Marquês de Pombal, 958 - Campos Elíseos (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"107";"Sidplast Embalagens e Descartáveis";"Sidplast Embalagens e Descartáveis";"NOVO";"";"(16) 3996-9642";"";"Embalagens";"Ribeirão Preto";"";"";"Av. Luzitana - Parque Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"108";"Center Service";"Center Service";"NOVO";"";"(16) 3626-0847";"";"Auto center";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"109";"Silcar Pneus";"Silcar Pneus";"NOVO";"";"(16) 3902-3515";"";"Pneus";"Ribeirão Preto";"";"";"Av. Pres. Vargas - Jardim América (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
"110";"Serv Agro";"Serv Agro";"NOVO";"";"(16) 3635-2026";"";"Agropecuária";"Ribeirão Preto";"";"";"R. José Bonifácio - Centro (busca pública, lote 04). Telefone não confirmado por ligação.";"Busca web set/2026"
