Nome;Telefone;Bairro;Nicho
Cartão de TODOS Ribeirão Preto;(16) 3941-2185;;Cartão de benefícios
Rei dos Cadeados;(16) 3632-2809;Centro;Chaveiro e cadeados
Churrascaria Zebu;(16) 3441-7467;Jardim Paulista;Churrascaria
Panoramic Club House;(16) 3623-5030;;Clube/Lazer
SESC Ribeirão Preto;(16) 3977-4477;Centro;Clube/Lazer
Clínica Ana Otake;(16) 3234-6551;;Clínica médica
Clínica Dr Raul Gonzalez;(16) 4009-6060;;Clínica médica
Clínica Garibaldi;(16) 3635-8007;;Clínica médica
Dr Fernando Roselino Cardiologista;(16) 3636-3656;;Clínica médica
Dr. Edmundo Raspanti;(16) 3911-1631;;Clínica médica
IURP Instituto Urológico de Ribeirão Preto;(16) 3234-2401;;Clínica médica
Le Plume Dermatologia;(16) 3512-1886;;Clínica médica
Serviço Nefrologia Ribeirão Preto;(16) 3902-1626;;Clínica médica
Dra Patricia Pallaretti;(16) 3620-0445;Alto da Boa Vista;Clínica médica
Clínica Medicar;(16) 3512-4477;Centro;Clínica médica
Clínica Médica Tibiriçá;(16) 3632-9694;Centro;Clínica médica
Med Clínica;(16) 3636-1200;Centro;Clínica médica
Uroclínica Ribeirão Preto;(16) 3916-4916;City Ribeirão;Clínica médica
Clinmater Consultório Médico;(16) 98161-8135;Jardim América;Clínica médica
Clínica Médica Endogastro;(16) 3620-5876;Jardim América;Clínica médica
Clínica Rivvé;(16) 3623-0976;Jardim Irajá;Clínica médica
Centro Clínico Gianny Bordin;(16) 3441-7444;Jardim Sumaré;Clínica médica
Uniclinic;(16) 3636-5737;Jardim Sumaré;Clínica médica
Clínica Civil HC FAEPA;(16) 3602-2158;Vila Monte Alegre;Clínica médica
Assistdente;(16) 3636-3064;;Clínica odontológica
Bem Viver Odonto;(16) 3877-2255;;Clínica odontológica
Clínica Doqt;(16) 3877-4700;;Clínica odontológica
Clínica do Dente;(16) 3941-2225;;Clínica odontológica
Núcleo Odonto;(16) 2102-2199;;Clínica odontológica
Sempre Sorrindo Ribeirão Preto;(16) 3632-4459;;Clínica odontológica
Uniodonto;(16) 3635-2551;;Clínica odontológica
Zaparolli Odontologia;(16) 3636-3445;;Clínica odontológica
Odontoclinic;(16) 3610-5441;Alto da Boa Vista;Clínica odontológica
Clínica Orthus;(16) 3625-1183;Centro;Clínica odontológica
Só Colchões;(16) 3961-1012;Campos Elíseos;Colchões
Top Colchões;(16) 3632-1090;Centro;Colchões
ACidade ON Ribeirão Preto;(16) 3977-2171;;Comunicação
CPC Centro Popular de Compras;(16) 3610-3604;Centro;Comércio popular
Cantinho Doce Rotisserie;(16) 3103-9437;;Confeitaria
Empório do Bolo;(16) 3103-2272;;Confeitaria
Luiza Confeitaria;(16) 3013-2687;Jardim Maria Goretti;Confeitaria
Construtora Pacaembu;(16) 98877-4493;;Construtora
M Egydio dos Santos Construtora;(16) 3441-8807;;Construtora
Nicolini e Nicolini Construtora e Isolamentos;(16) 3236-1763;Centro;Construtora
Construtora Acosta;(16) 3234-1993;Jardim São Luiz;Construtora
Consórcio Dinomar;(16) 3966-6900;Ipiranga;Consórcio
Análise Consultoria e Contabilidade;(16) 3234-1290;;Contabilidade
Extinset;(16) 3234-0890;Campos Elíseos;Controle de pragas
Dadalt Corretora de Seguros;(16) 3931-4085;Centro;Corretora de seguros
MAPFRE Sucursal;(16) 3931-8200;Centro;Corretora de seguros
ADW Corretora de Seguros;(16) 3625-1261;Ribeirânia;Corretora de seguros
Metropolitan Business Center;(16) 3911-8993;;Coworking
Help Loja de Crédito;(16) 3512-9400;Centro;Crédito e financeira
Flexx Câmbio;(16) 3289-0050;;Câmbio
Demolidora Santos e Degasperi;(16) 3961-1390;Ipiranga;Demolição
Marlene Despachante;(16) 3626-2729;;Despachante
Premici Distribuidora;(16) 3512-2700;;Distribuidora
Riberbão Atacado;(16) 3639-9338;;Distribuidora
Ribercon Distribuidora;(16) 3624-5020;;Distribuidora
Mira Distribuidora;(16) 3628-7077;Campos Elíseos;Distribuidora
Vitória Distribuidora;(16) 3966-5506;Campos Elíseos;Distribuidora
Atacadão Via Norte;(16) 3995-6925;Ipiranga;Distribuidora
Molyplast;(16) 3963-9000;Parque Industrial Lagoinha;Distribuidora
Mundo Doce Distribuidora;(16) 3627-3955;;Distribuidora de alimentos
PD8 Distribuidora de Alimentos;(16) 3237-0833;;Distribuidora de alimentos
Riberfoods Centro de Distribuição;(16) 3434-5800;Distrito Empresarial;Distribuidora de alimentos
Distribuidora Castelo;(16) 3967-1646;Jardim Zara;Distribuidora de alimentos
Chopp Brahma Express;(16) 3941-5050;;Distribuidora de bebidas
Distribuidora de Bebidas DDL;(16) 3442-4230;;Distribuidora de bebidas
Bebidas Amarelinho;(16) 3627-5999;Jardim Anhanguera;Distribuidora de bebidas
Trade One Bebidas;(16) 3916-4990;Santa Cruz do José Jacques;Distribuidora de bebidas
Ultragaz;(16) 3630-0717;;Distribuidora de gás e água
Gás Brasiliano Distribuidora;(16) 3913-4543;Alto da Boa Vista;Distribuidora de gás e água
Disk Ultragás;(16) 3630-0761;Campos Elíseos;Distribuidora de gás e água
Lisboa Gás;(16) 3624-6373;Jardim Anhanguera;Distribuidora de gás e água
Companhia Ultragaz;(16) 3975-9200;Jardim Manoel Penna;Distribuidora de gás e água
Gordo Gás e Água;(16) 3637-1287;Jardim Maria Goretti;Distribuidora de gás e água
Liquigás;(16) 3632-0499;Jardim Paulista;Distribuidora de gás e água
J. K. Medicamentos;(16) 2137-8250;;Distribuidora de medicamentos
Medicinalis Distribuição;(16) 3442-7300;;Distribuidora de medicamentos
Texto e Forma Conteúdo Educacional;(16) 3512-2739;;Educação
Êxito CE Ribeirão Preto;(16) 98865-8202;;Educação
MOVPLAN Soluções Educacionais;(16) 3976-3239;Vila Mariana;Educação
Caçola Embalagens;(16) 4009-6800;;Embalagens
Della Embalagens;(16) 3626-9515;;Embalagens
Fabriplas Sacolas Plásticas;(16) 3626-0115;;Embalagens
Riber Plast;(16) 3630-9988;;Embalagens
Sibrape Embalagens;(16) 2101-7000;;Embalagens
Plast Rib;(16) 3961-1099;Campos Elíseos;Embalagens
Embalagens Rodrigues Melo;(16) 3632-7538;Jardim Mosteiro;Embalagens
Sidplast Embalagens e Descartáveis;(16) 3996-9642;Parque Ribeirão Preto;Embalagens
Plásticos Nave;(16) 3625-4811;Vila Virgínia;Embalagens
INOVOLT Engenharia e Aplicações;(16) 3234-7527;;Engenharia
Odontobras;(16) 2102-4500;;Equipamentos odontológicos
Albras Equipamentos para Laboratórios;(16) 3236-1520;;Equipamentos para laboratório
Ballet Vanessa Tremeschin;(16) 3916-6016;Jardim Botânico;Escola de dança
CNA Independência;(16) 2111-4926;Vila Seixas;Escola de idiomas
Espaço Vaidosa;(16) 3234-8493;;Estética
A Fábrica de Extintores;(16) 99133-4049;;Extintores
Universal Extintores;(16) 3632-1121;Centro;Extintores
Sky Fire Equipamentos contra Incêndio;(16) 3019-3980;Vila Tibério;Extintores
Drogal;(16) 3632-0303;;Farmácia
Drogal Farmacêutica;(16) 3630-3000;;Farmácia
Drogal Loja 232;(16) 3966-3645;;Farmácia
Drogaria São Mateus;(16) 3632-1777;;Farmácia
Vivimed;(16) 3632-8001;;Farmácia
Droga Raia;(16) 3620-6894;Alto da Boa Vista;Farmácia
Drogaria São Paulo;(16) 3289-9888;Alto da Boa Vista;Farmácia
Drogão Super;(16) 3913-3300;Alto da Boa Vista;Farmácia
Drogaria São Francisco;(16) 3610-4940;Centro;Farmácia
Drogaria Juliana;(16) 3965-2469;Conjunto Habitacional;Farmácia
Drogaria São Paulo (Jardim Botânico);(16) 3623-1746;Jardim Botânico;Farmácia
Drogaria Jardim;(16) 3441-9909;Jardim Independência;Farmácia
Drogaria Juliana (Jardim Juliana);(16) 3629-0359;Jardim Juliana;Farmácia
Drogaria Farma Sua;(16) 3975-5070;Jardim Orestes Lopes de Camargo;Farmácia
Pague Menos;(16) 3625-1577;Jardim Paulista;Farmácia
Drogaria J.R.;(16) 3919-1087;Parque Ribeirão Preto;Farmácia
Drogaria Luzitana;(16) 3637-0461;Parque Ribeirão Preto;Farmácia
Planalto Farma;(16) 3975-7360;Planalto Verde;Farmácia
Drogaria São Carlos;(16) 3974-7828;Quintino Facci II;Farmácia
A Pharmaceutica;(16) 3636-4449;Centro;Farmácia de manipulação
Sanre Farmácia de Manipulação;(16) 3636-5118;Centro;Farmácia de manipulação
Farmácia da Terra;(16) 3963-1888;Ipiranga;Farmácia de manipulação
Manipularium Fórmulas;(16) 3931-1616;Jardim Sumaré;Farmácia de manipulação
Farmácia Pharmatrix;(16) 3636-1398;Jardim São Luiz;Farmácia de manipulação
Dipal Distribuidora de Parafusos;(16) 3969-8000;;Ferragens e ferramentas
FBR Aço e Ferragens Armadas;(16) 3628-5547;;Ferragens e ferramentas
LUFIX Parafusos;(16) 3969-8500;;Ferragens e ferramentas
Multiatlas Ferramentas;(16) 3021-2092;;Ferragens e ferramentas
Casa dos Parafusos;(16) 3610-9967;Campos Elíseos;Ferragens e ferramentas
J R Parafusos e Ferramentas;(16) 98152-5584;Ipiranga;Ferragens e ferramentas
Clínica Canadá Fisioterapia;(16) 3913-4259;Jardim Canadá;Fisioterapia
Floricultura Camila Flores;(16) 3637-0136;Vila Virgínia;Floricultura
RodriCar Funilaria;(16) 3916-4021;;Funilaria e pintura
Alvares Auto Center Funilaria e Pintura;(16) 3639-1800;Planalto Verde;Funilaria e pintura
Serv Gesso;(16) 3637-5940;Parque Ribeirão Preto;Gesso/Drywall
João do Gesso;(16) 99200-1810;Vila Pompeia;Gesso/Drywall
Copiadora Café;(16) 98818-4543;;Gráfica e comunicação visual
Efetiva Comunicação Visual;(16) 3610-9926;;Gráfica e comunicação visual
Guarino's Comunicação Visual;(16) 3635-4761;;Gráfica e comunicação visual
Imprimix Ribeirão Preto;(16) 3325-6665;;Gráfica e comunicação visual
MZ Gráfica Editora Embalagens;(16) 3632-7288;;Gráfica e comunicação visual
Artegrafix Gráfica Digital;(16) 3931-4905;Centro;Gráfica e comunicação visual
Ribeirão Outdoor;(16) 3965-4554;Ribeirânia;Gráfica e comunicação visual
Lufa Comunicação Visual;(16) 3630-9554;Vila Tibério;Gráfica e comunicação visual
Lagoa Burger;(16) 3623-4033;;Hamburgueria
Associação Produtores Hortifrutigranjeiros de Ribeirão Preto e Região;(16) 3941-1101;;Hortifruti
Varejão Paraíso Loja 1;(16) 3966-1272;;Hortifruti
Varejão Paraíso Loja 03;(16) 3966-6685;Jardim Anhanguera;Hortifruti
Hospital Ribeirânia;(16) 3968-3100;;Hospital
Hospital Santa Lydia;(16) 3605-4848;;Hospital
Hospital Unimed Ribeirão Preto;(16) 3913-7000;;Hospital
Hostel Ribeirão;(16) 3632-5356;;Hotel
Hotel ibis Styles Ribeirão Preto;(16) 2132-9600;;Hotel
Mundial Imóveis;(16) 3977-2700;;Imobiliária
Canadá Imóveis;(16) 3610-5166;Centro;Imobiliária
Lago Imóveis;(16) 3211-8330;Jardim Sumaré;Imobiliária
Telmac Trade Import e Export;(16) 3977-7000;;Importação e exportação
Coca-Cola Andina;(16) 4009-2000;;Indústria de bebidas
Liotti Indústria de Produtos Galvanizados;(16) 3636-6277;;Indústria e metalurgia
Setex do Brasil;(16) 3969-4041;;Indústria e metalurgia
Usinagem Ribeirão;(16) 99174-8615;;Indústria e metalurgia
Weld Center;(16) 3636-8793;;Indústria e metalurgia
Metaljunta;(16) 3637-0888;Parque Ribeirão Preto;Indústria e metalurgia
Invertronic Soluções Industriais;(16) 3441-9981;Planalto Verde;Indústria e metalurgia
Tecnolife Eletrônica Industrial;(16) 3289-0079;Vila Tibério;Indústria e metalurgia
Eurofarma Laboratórios;(16) 3512-4900;;Indústria farmacêutica
Bazar do Micro;(16) 3625-1826;;Informática e TI
Ribeirão System Informática;(16) 3797-9500;;Informática e TI
Sankhya Tecnologia em Sistemas;(16) 2138-7500;;Informática e TI
AATech Soluções Tecnológicas;(16) 3103-3011;Campos Elíseos;Informática e TI
Pontobr Informática;(16) 3966-1336;Ipiranga;Informática e TI
Mundial Informática;(16) 99761-4052;Jardim Antártica;Informática e TI
Brasplan Informática;(16) 3632-0989;Jardim Paulista;Informática e TI
Route 66;(16) 3237-3956;Jardim Paulista;Informática e TI
Rommanel Ribeirão Preto Center;(16) 3515-6000;;Joalheria
Cia da Aliança Loja 1;(16) 3236-0523;Centro;Joalheria
Antonio Carlos Joalheiros Loja 2;(16) 3636-2266;Jardim Sumaré;Joalheria
Lapidin Joalheiros;(16) 3617-2288;Ribeirânia;Joalheria
Baracchini Laboratório de Análises Clínicas;(16) 3623-5957;;Laboratório
Centro de Diagnósticos Controle;(16) 3625-6068;;Laboratório
DMLab Análises Agrícolas;(16) 3919-1018;;Laboratório
Laboratório BioNuclear;(16) 3636-2796;;Laboratório
Laboratório Hemac;(16) 2138-3590;Jardim Sumaré;Laboratório
Laboratório Dr. Prates;(16) 3211-4300;Vila Seixas;Laboratório
Amauri Lanches;(16) 3627-4625;;Lanchonete
Dryanle Lanches;(16) 3633-2116;;Lanchonete
Du Lanches;(16) 3633-7830;;Lanchonete
Habib's Ribeirão Preto 2;(16) 3625-9888;;Lanchonete
Lanchonete Mr. Barriga;(16) 3963-3382;;Lanchonete
Macal Lanches;(16) 3630-0333;;Lanchonete
Ro Lanches;(16) 3630-5015;;Lanchonete
Tuany Disk Lanches;(16) 3622-4571;;Lanchonete
X Tudo Ribeirão;(16) 98877-1305;;Lanchonete
Serjão Lanches;(16) 3635-0315;Centro;Lanchonete
Amauri Mega Lanches e Pizzas;(16) 3976-9180;Geraldo Correia de Carvalho;Lanchonete
Mauricio Martins Chapini;(16) 3622-5292;Ipiranga;Lanchonete
Paladar Lanches;(16) 3620-4881;Parque Ribeirão Preto;Lanchonete
Fábrica do Lanche;(16) 3975-1787;Planalto Verde;Lanchonete
Laura's Lanches;(16) 3974-7698;Quintino Facci II;Lanchonete
Skinão Lanches;(16) 3620-3527;Subsetor Sul 2;Lanchonete
Nonos Lanches;(16) 3637-5686;Vila Virgínia;Lanchonete
Espaço Golf;(16) 3623-8298;;Lazer
Ribeirão Paintball;(16) 3620-5190;;Lazer
Ambiente Locadora de Veículos;(16) 99104-0652;Ribeirânia;Locadora de veículos
Localiza;(16) 3626-2266;Vila Elisa;Locadora de veículos
Pipe Store Ribeirão Preto;(16) 3632-7666;;Loja de roupas
Di Gaspi;(16) 3632-9973;Centro;Loja de roupas
Loja Super G;(16) 3625-8609;Centro;Loja de roupas
Lojas Tanger;(16) 3610-0867;Centro;Loja de roupas
Asha;(16) 3625-4646;Jardim Sumaré;Loja de roupas
Ele Grande Ribeirão Preto;(16) 3441-4376;Ribeirânia;Loja de roupas
Vamos Seminovos Ribeirão;(16) 3603-6000;;Loja de veículos
Yamada Veículos;(16) 3961-1878;Campos Elíseos;Loja de veículos
Lottery and Cafe Good Luck;(16) 3636-8781;;Lotérica
Faria Marcenaria;(16) 3623-9012;;Marcenaria
Marmoraria Belém;(16) 3963-2484;Ipiranga;Marmoraria
Marmoraria Brasil;(16) 3996-9000;Vila Elisa;Marmoraria
Casa Interior;(16) 3635-7100;;Materiais de construção
Jorginho Materiais para Construção;(16) 3638-0555;;Materiais de construção
Depósito Chimba;(16) 3638-2277;Adelino Simioni;Materiais de construção
Construlider;(16) 3941-5445;Campos Elíseos;Materiais de construção
RBR Materiais de Construção;(16) 3638-3377;Quintino Facci II;Materiais de construção
Eletrocenter;(16) 3612-7090;Campos Elíseos;Materiais elétricos
Marcos Eletricista;(16) 3043-3889;Campos Elíseos;Materiais elétricos
Elétrica São Paulo;(16) 3624-6544;Jardim Paulista;Materiais elétricos
Elétrica Brasília RP;(16) 3961-2511;Subsetor Norte 1;Materiais elétricos
Ponto da Eletricidade;(16) 3636-5665;Vila Tibério;Materiais elétricos
Casa Hidráulica;(16) 3969-1300;;Materiais hidráulicos
Arte Hidráulica;(16) 3624-3552;Jardim Paulistano;Materiais hidráulicos
Cedirp Central Diagnóstico;(16) 3977-5100;;Medicina diagnóstica
Pro Imagem Medicina Diagnóstica;(16) 3456-3456;;Medicina diagnóstica
Casa da Batian Produtos Orientais;(16) 3610-9694;Centro;Mercearia
Movie Inn Motel;(16) 3628-5808;;Motel
Savana Motel;(16) 3629-1800;Recreio Anhanguera;Motel
Gordim Moto Peças e Acessórios;(16) 99135-0775;;Motos e moto peças
Ka Motos;(16) 3612-3479;Campos Elíseos;Motos e moto peças
Décio Motos;(16) 3931-4544;Centro;Motos e moto peças
Kim Moto Peças;(16) 3636-4189;Centro;Motos e moto peças
Retífica Mundial Motos;(16) 3941-3444;Centro;Motos e moto peças
Ribeirão Moto;(16) 3966-6662;Ipiranga;Motos e moto peças
Oficina Alemotos;(16) 3630-0734;Vila Tibério;Motos e moto peças
Jaguar Máquinas e Ferramentas Motorizadas;(16) 98134-5960;;Máquinas agrícolas
AGMAQ;(16) 3626-7766;Parque Industrial;Máquinas e equipamentos
Minha Casa Decorações;(16) 3911-9311;;Móveis
Móveis Carvalho;(16) 3625-4649;Campos Elíseos;Móveis
Móveis Paulista;(16) 3632-2805;Jardim América;Móveis
Esquina Móveis;(16) 3625-4375;Vila Seixas;Móveis para escritório
Auto Center Tupã;(16) 98198-7177;;Oficina mecânica
Center Service;(16) 3626-0847;;Oficina mecânica
Cintra Car;(16) 3931-3978;;Oficina mecânica
Mecânica Porto União;(16) 3633-6056;;Oficina mecânica
Oficina Centrovel (Euro Repar);(16) 3234-7040;;Oficina mecânica
CaramuruCAR;(16) 3623-5554;Jardim Sumaré;Oficina mecânica
Padaria Florenza;(16) 3965-1258;;Padaria
Padaria São Pedro;(16) 3610-7917;;Padaria
Panificadora Nossa Senhora Aparecida;(16) 3633-5849;;Padaria
Renascer;(16) 3975-2772;;Padaria
Panificadora Garoto;(16) 3612-8116;Campos Elíseos;Padaria
Panificadora da Lapa;(16) 3626-4277;Campos Elíseos;Padaria
Riber Pão;(16) 3961-2569;Campos Elíseos;Padaria
Panificadora Nosso Pão;(16) 3625-1821;Centro;Padaria
São Marcos Panificadora;(16) 3629-8114;Conjunto Habitacional;Padaria
Panificadora Braghetto;(16) 3627-6365;Jardim Anhanguera;Padaria
Panificadora Jardim Paulista;(16) 3635-7596;Jardim Paulista;Padaria
Panificadora São Lucas;(16) 3629-1635;Jardim Roberto Benedetti;Padaria
Panificadora São Rafael;(16) 3620-0818;Jardim Sumaré;Padaria
Panificadora Panetutti;(16) 3617-2022;Parque Anhanguera;Padaria
Kalunga;(16) 3904-3569;;Papelaria e livraria
Livraria Atlas Ribeirão;(16) 3963-1313;;Papelaria e livraria
Lápis Cor & Cia;(16) 3627-4450;;Papelaria e livraria
Criativa Papelaria;(16) 3234-4613;Campos Elíseos;Papelaria e livraria
Livraria Saraiva;(16) 3519-3371;Centro;Papelaria e livraria
Papelaria Primavera;(16) 3622-2496;Geraldo Correia de Carvalho;Papelaria e livraria
ABC Papelaria e Livraria;(16) 3011-8860;Ipiranga;Papelaria e livraria
Papelaria Ipiranga;(16) 3633-0925;Ipiranga;Papelaria e livraria
Alquimia Papelaria;(16) 3441-3166;Jardim Diva Tarla de Carvalho;Papelaria e livraria
Souza e Guimarães Papelaria;(16) 3441-8158;Jardim Paulista;Papelaria e livraria
Monteiro Lobato Papelaria e Livraria;(16) 3966-1263;Vila Monte Alegre;Papelaria e livraria
Papelaria Estrela;(16) 3633-4455;Vila Monte Alegre;Papelaria e livraria
Livraria Monteiro Lobato;(16) 3637-3427;Vila Virgínia;Papelaria e livraria
O Boticário;(16) 3235-7011;;Perfumaria e cosméticos
Perfumaria Cibele;(16) 3965-1007;;Perfumaria e cosméticos
Open Perfumes Importados;(16) 3610-4383;Centro;Perfumaria e cosméticos
Silvia Cosméticos;(16) 3637-1678;Vila Virgínia;Perfumaria e cosméticos
Persianas Line Flex;(16) 3931-1041;Vila Tibério;Persianas
Na Ponta do Lápis Cálculos Trabalhistas;(16) 3441-9697;;Perícia e cálculos
Banho e Tosa da Silvana;(16) 3941-5789;;Pet shop
Pet Shop Rural;(16) 3622-0681;Geraldo Correia de Carvalho;Pet shop
Ipiranga Pet Shop;(16) 3021-3782;Ipiranga;Pet shop
Cão Amigo;(16) 3638-8131;Quintino Facci II;Pet shop
Geomaq Tratorpeças;(16) 3969-8260;;Peças agrícolas
Cemitério dos Pisos;(16) 3636-7533;Campos Elíseos;Pisos e revestimentos
A Modelar Pisos e Revestimentos;(16) 2102-1600;Centro;Pisos e revestimentos
Antônio Henrique Dametto Pizzaria;(16) 3625-3925;;Pizzaria
Fornetto Pizza Eventos;(16) 3627-6339;;Pizzaria
Vila Mangiamo Pizza Bar;(16) 3625-8555;;Pizzaria
Pizzaria Ribeirão;(16) 3621-5225;Alto da Boa Vista;Pizzaria
Pizzaria Primavera;(16) 3626-9653;Independência;Pizzaria
Disk Nona Pizzaria e Calzone;(16) 3630-1414;Ipiranga;Pizzaria
Pizzaria Pereira;(16) 3615-4495;Jardim Orestes Lopes de Camargo;Pizzaria
Romanato Esfiharia e Pizzaria;(16) 3917-0444;Parque Industrial Lagoinha;Pizzaria
Cascata do Quintino II;(16) 3974-1171;Quintino Facci II;Pizzaria
Pizzaria Três Irmãos;(16) 3632-4848;Vila Amélia;Pizzaria
Pizzaria Lanchonete Dois Irmãos;(16) 3626-0711;Vila Tamandaré;Pizzaria
Silcar Pneus;(16) 3902-3515;Jardim América;Pneus
Roberto Borracharia 24 Horas;(16) 99103-6759;Centro;Pneus/Borracharia
Auto Posto Titan;(16) 3969-4272;;Posto de combustível
Posto Ipiranga;(16) 3966-4400;;Posto de combustível
Posto Maravilha;(16) 3610-8569;;Posto de combustível
Shell Select;(16) 3961-2991;;Posto de combustível
Posto Junqueira I Ipiranga;(16) 3610-5058;Ipiranga;Posto de combustível
Medclinical Produtos Médicos e Hospitalares;(16) 3976-5496;;Produtos médicos e hospitalares
Dental Tanaka;(16) 3636-2700;;Produtos odontológicos
Protecnica Laboratório de Prótese;(16) 3610-7640;Campos Elíseos;Prótese dentária
Albieri Radiadores;(16) 3626-4433;;Radiadores
Milênio X Radiologia Odontológica;(16) 3632-2029;;Radiologia odontológica
Ferro Velho Paraná;(16) 3963-2349;;Reciclagem e sucata
Baroni Reciclagem;(16) 3917-2574;Parque Anhanguera;Reciclagem e sucata
Grupo Zulmira;(16) 3969-9520;Vila Mariana;Reciclagem e sucata
Refratários Ribeirão Preto;(16) 3626-5540;;Refratários
Climater;(16) 3635-8857;;Refrigeração e climatização
Max Frio Ar Condicionado;(16) 3914-3621;;Refrigeração e climatização
Refriart;(16) 3931-3783;;Refrigeração e climatização
Refrigeração Bonavina;(16) 3961-2111;;Refrigeração e climatização
Multifrio Refrigeração;(16) 2101-7700;Campos Elíseos;Refrigeração e climatização
Refricenter;(16) 3931-2763;Campos Elíseos;Refrigeração e climatização
Zanotti e Multi Frio;(16) 3961-1804;Campos Elíseos;Refrigeração e climatização
Refrigeração Caldana;(16) 3610-6943;Vila Tibério;Refrigeração e climatização
