"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"23";"Multifrio Refrigeração";"Multifrio Refrigeração";"NOVO";"";"(16) 2101-7700";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. João Clapp - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"24";"Refricenter";"Refricenter";"NOVO";"";"(16) 3931-2763";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"25";"Refrigeração Bonavina";"Refrigeração Bonavina";"NOVO";"";"(16) 3961-2111";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"26";"Refrigeração Futurama";"Refrigeração Futurama";"NOVO";"";"(16) 3914-2040";"";"Refrigeração comercial";"Ribeirão Preto";"";"";"R. Cardeal Leme, 300 - Vila Virgínia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"27";"Universal Extintores";"Universal Extintores";"NOVO";"";"(16) 3632-1121";"";"Extintores";"Ribeirão Preto";"";"";"R. José Bonifácio - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"28";"Sky Fire Equipamentos contra Incêndio";"Sky Fire Equipamentos contra Incêndio";"NOVO";"";"(16) 3019-3980";"";"Extintores";"Ribeirão Preto";"";"";"R. Dois de Julho, 1274 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"29";"Distrinox";"Distrinox";"NOVO";"";"(16) 3969-8080";"";"Segurança do trabalho";"Ribeirão Preto";"";"";"Av. da Saudade - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"30";"Rei dos Cadeados";"Rei dos Cadeados";"NOVO";"";"(16) 3632-2809";"";"Segurança/Chaveiro";"Ribeirão Preto";"";"";"R. Visconde de Inhaúma - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"31";"Casa dos Parafusos";"Casa dos Parafusos";"NOVO";"";"(16) 3610-9967";"";"Ferragens";"Ribeirão Preto";"";"";"Av. Capitão Salomão - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"32";"J R Parafusos e Ferramentas";"J R Parafusos e Ferramentas";"NOVO";"";"(16) 98152-5584";"";"Ferragens";"Ribeirão Preto";"";"";"R. Maranhão - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"33";"Multiatlas Ferramentas";"Multiatlas Ferramentas";"NOVO";"";"(16) 3021-2092";"";"Ferramentas";"Ribeirão Preto";"";"";"R. Monsenhor Siqueira (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"34";"Oximaster";"Oximaster";"NOVO";"";"(16) 3633-2382";"";"Solda/Gases";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"35";"Serv Gesso";"Serv Gesso";"NOVO";"";"(16) 3637-5940";"";"Gesso/Drywall";"Ribeirão Preto";"";"";"Av. Luzitana - Parque Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"36";"João do Gesso";"João do Gesso";"NOVO";"";"(16) 99200-1810";"";"Gesso/Drywall";"Ribeirão Preto";"";"";"R. Itajubá - Vila Pompeia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"37";"Auto Posto Titan";"Auto Posto Titan";"NOVO";"";"(16) 3969-4272";"";"Posto de combustível";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"38";"A Modelar Pisos e Revestimentos";"A Modelar Pisos e Revestimentos";"NOVO";"";"(16) 2102-1600";"";"Pisos e revestimentos";"Ribeirão Preto";"";"";"Av. Dr. Francisco Junqueira - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"39";"Depósito Chimba";"Depósito Chimba";"NOVO";"";"(16) 3638-2277";"";"Materiais de construção";"Ribeirão Preto";"";"";"Av. Gen. Euclydes de Figueiredo - Adelino Simioni (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"40";"RBR Materiais de Construção";"RBR Materiais de Construção";"NOVO";"";"(16) 3638-3377";"";"Materiais de construção";"Ribeirão Preto";"";"";"R. Dr. Demétrio Chaguri, 811 - Quintino Facci II (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"41";"Cemitério dos Pisos";"Cemitério dos Pisos";"NOVO";"";"(16) 3636-7533";"";"Pisos e revestimentos";"Ribeirão Preto";"";"";"R. Monsenhor Siqueira - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"42";"Casa Interior";"Casa Interior";"NOVO";"";"(16) 3635-7100";"";"Materiais de construção";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"43";"Refratários Ribeirão Preto";"Refratários Ribeirão Preto";"NOVO";"";"(16) 3626-5540";"";"Refratários";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"44";"Alarme Sistens";"Alarme Sistens";"NOVO";"";"(16) 3941-2231";"";"Segurança eletrônica";"Ribeirão Preto";"";"";"R. Aurora, 382 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"45";"City Sistem Sistemas de Segurança";"City Sistem Sistemas de Segurança";"NOVO";"";"(16) 3916-4045";"";"Segurança eletrônica";"Ribeirão Preto";"";"";"Praça Rotary Club - City Ribeirão (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"46";"ANM Sistema de Alarmes";"ANM Sistema de Alarmes";"NOVO";"";"(16) 3877-6040";"";"Segurança eletrônica";"Ribeirão Preto";"";"";"R. Orlândia - Jardim Paulista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"47";"Victoria Som";"Victoria Som";"NOVO";"";"(16) 3632-1422";"";"Som automotivo";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"48";"Sibrape Embalagens";"Sibrape Embalagens";"NOVO";"";"(16) 2101-7000";"";"Embalagens";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"49";"Ambiente Locadora de Veículos";"Ambiente Locadora de Veículos";"NOVO";"";"(16) 99104-0652";"";"Locadora de veículos";"Ribeirão Preto";"";"";"Av. Maurílio Biagi - Ribeirânia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"50";"Localiza";"Localiza";"NOVO";"";"(16) 3626-2266";"";"Locadora de veículos";"Ribeirão Preto";"";"";"R. Guará - Vila Elisa (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"51";"Lapidin Joalheiros";"Lapidin Joalheiros";"NOVO";"";"(16) 3617-2288";"";"Joalheria";"Ribeirão Preto";"";"";"Av. Pres. Kennedy - Ribeirânia (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"52";"Antonio Carlos Joalheiros Loja 2";"Antonio Carlos Joalheiros Loja 2";"NOVO";"";"(16) 3636-2266";"";"Joalheria";"Ribeirão Preto";"";"";"R. João Penteado - Jardim Sumaré (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"53";"Riber Pão";"Riber Pão";"NOVO";"";"(16) 3961-2569";"";"Padaria";"Ribeirão Preto";"";"";"R. Dom Pedro II - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"54";"Panificadora Garoto";"Panificadora Garoto";"NOVO";"";"(16) 3612-8116";"";"Padaria";"Ribeirão Preto";"";"";"R. Tamandaré - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"55";"Weld Center";"Weld Center";"NOVO";"";"(16) 3636-8793";"";"Solda";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"56";"Tuany Disk Lanches";"Tuany Disk Lanches";"NOVO";"";"(16) 3622-4571";"";"Lanchonete";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"57";"Mialich Supermercados";"Mialich Supermercados";"NOVO";"";"(16) 3615-0594";"";"Supermercado";"Ribeirão Preto";"";"";"R. Cel. Américo Batista - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação. Atenção: a rede Mialich já está na sua lista pela Loja 07. Esta é outra unidade (Ipiranga).";"Busca web set/2026"
"58";"Salgadinhos Piu Piu";"Salgadinhos Piu Piu";"NOVO";"";"(16) 3630-1223";"";"Salgados";"Ribeirão Preto";"";"";"Av. Dom Pedro I - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"59";"Mauricio Martins Chapini";"Mauricio Martins Chapini";"NOVO";"";"(16) 3622-5292";"";"Lanchonete";"Ribeirão Preto";"";"";"R. Cel. Américo Batista - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"60";"Sorveteria do Geraldo";"Sorveteria do Geraldo";"NOVO";"";"(16) 3961-1681";"";"Sorveteria";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"61";"Gás Brasiliano Distribuidora";"Gás Brasiliano Distribuidora";"NOVO";"";"(16) 3913-4543";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Av. Pres. Vargas - Alto da Boa Vista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"62";"Companhia Ultragaz";"Companhia Ultragaz";"NOVO";"";"(16) 3975-9200";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Rod. Anel Viário - Jardim Manoel Penna (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"63";"Disk Ultragás";"Disk Ultragás";"NOVO";"";"(16) 3630-0761";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"R. Anita Garibaldi - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"64";"Gordo Gás e Água";"Gordo Gás e Água";"NOVO";"";"(16) 3637-1287";"";"Distribuidora de gás e água";"Ribeirão Preto";"";"";"R. Mário de Andrade - Jardim Maria Goretti (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"65";"Liquigás";"Liquigás";"NOVO";"";"(16) 3632-0499";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"R. Henrique Dumont - Jardim Paulista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"66";"Lisboa Gás";"Lisboa Gás";"NOVO";"";"(16) 3624-6373";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Av. Barão do Bananal - Jardim Anhanguera (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"67";"Ultragaz";"Ultragaz";"NOVO";"";"(16) 3630-0717";"";"Distribuidora de gás";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"68";"Atividade Academia";"Atividade Academia";"NOVO";"";"(16) 3421-6663";"";"Academia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"69";"AABB";"AABB";"NOVO";"";"(16) 3623-5041";"";"Clube/Academia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"70";"Ritmo Academia";"Ritmo Academia";"NOVO";"";"(16) 3635-5578";"";"Academia";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"71";"Churrascaria Zebu";"Churrascaria Zebu";"NOVO";"";"(16) 3441-7467";"";"Churrascaria";"Ribeirão Preto";"";"";"R. Atibaia - Jardim Paulista (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"72";"Ribeirão Moto";"Ribeirão Moto";"NOVO";"";"(16) 3966-6662";"";"Motos";"Ribeirão Preto";"";"";"R. Pará, 582 - Ipiranga (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"73";"Kim Moto Peças";"Kim Moto Peças";"NOVO";"";"(16) 3636-4189";"";"Motos";"Ribeirão Preto";"";"";"R. José Bonifácio - Centro (busca pública, lote 05). Telefone não confirmado por ligação. Atenção: pode ser a mesma empresa do item ""Kim Moto Peça"" que já está na sua lista, com outro telefone. Confirme antes de ligar.";"Busca web set/2026"
"74";"Ka Motos";"Ka Motos";"NOVO";"";"(16) 3612-3479";"";"Motos";"Ribeirão Preto";"";"";"R. Ceará - Campos Elíseos (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"75";"Décio Motos";"Décio Motos";"NOVO";"";"(16) 3931-4544";"";"Motos";"Ribeirão Preto";"";"";"Av. Dr. Francisco Junqueira - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"76";"Gordim Moto Peças e Acessórios";"Gordim Moto Peças e Acessórios";"NOVO";"";"(16) 99135-0775";"";"Motos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"77";"Oficina Alemotos";"Oficina Alemotos";"NOVO";"";"(16) 3630-0734";"";"Oficina de motos";"Ribeirão Preto";"";"";"R. Padre Anchieta, 1278 - Vila Tibério (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"78";"Biela Auto Peças";"Biela Auto Peças";"NOVO";"";"(16) 3628-4978";"";"Autopeças";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"79";"Clinmater Consultório Médico";"Clinmater Consultório Médico";"NOVO";"";"(16) 98161-8135";"";"Clínica médica";"Ribeirão Preto";"";"";"Av. Nove de Julho, 1844 - Jardim América (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"80";"Clínica Médica Tibiriçá";"Clínica Médica Tibiriçá";"NOVO";"";"(16) 3632-9694";"";"Clínica médica";"Ribeirão Preto";"";"";"R. Tibiriçá - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"81";"Med Clínica";"Med Clínica";"NOVO";"";"(16) 3636-1200";"";"Clínica médica";"Ribeirão Preto";"";"";"R. Campos Salles - Centro (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"82";"Clínica Garibaldi";"Clínica Garibaldi";"NOVO";"";"(16) 3635-8007";"";"Clínica médica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"83";"Clínica Civil HC FAEPA";"Clínica Civil HC FAEPA";"NOVO";"";"(16) 3602-2158";"";"Clínica médica";"Ribeirão Preto";"";"";"Av. Bandeirantes - Vila Monte Alegre (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"84";"Uniclinic";"Uniclinic";"NOVO";"";"(16) 3636-5737";"";"Clínica médica";"Ribeirão Preto";"";"";"R. Eliseu Guilherme, 917 - Jardim Sumaré (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"85";"Medclinical Produtos Médicos e Hospitalares";"Medclinical Produtos Médicos e Hospitalares";"NOVO";"";"(16) 3976-5496";"";"Produtos médicos e hospitalares";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
"86";"Hospital Ribeirânia";"Hospital Ribeirânia";"NOVO";"";"(16) 3968-3100";"";"Hospital";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 05). Telefone não confirmado por ligação.";"Busca web set/2026"
