"Nº";"Nome informado";"Nome sugerido";"Status";"CNPJ";"Telefone";"Responsável";"Categoria";"Cidade";"Abordagem";"Temperatura";"Observações";"Origem"
"27";"Dental Tanaka";"Dental Tanaka";"NOVO";"";"(16) 3636-2700";"";"Produtos odontológicos";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"28";"Clínica do Dente";"Clínica do Dente";"NOVO";"";"(16) 3941-2225";"";"Clínica odontológica";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"29";"Baroni Reciclagem";"Baroni Reciclagem";"NOVO";"";"(16) 3917-2574";"";"Reciclagem";"Ribeirão Preto";"";"";"R. Athaulfo Alves - Parque Anhanguera (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"30";"Grupo Zulmira";"Grupo Zulmira";"NOVO";"";"(16) 3969-9520";"";"Reciclagem";"Ribeirão Preto";"";"";"R. Peru - Vila Mariana (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"31";"Ferro Velho Paraná";"Ferro Velho Paraná";"NOVO";"";"(16) 3963-2349";"";"Ferro velho";"Ribeirão Preto";"";"";"Ribeirão Preto (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"32";"Livraria Saraiva";"Livraria Saraiva";"NOVO";"";"(16) 3519-3371";"";"Livraria";"Ribeirão Preto";"";"";"R. São José, 933 - Centro (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"33";"ABC Papelaria e Livraria";"ABC Papelaria e Livraria";"NOVO";"";"(16) 3011-8860";"";"Papelaria e livraria";"Ribeirão Preto";"";"";"R. Santa Catarina - Ipiranga (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"34";"Livraria Monteiro Lobato";"Livraria Monteiro Lobato";"NOVO";"";"(16) 3637-3427";"";"Livraria";"Ribeirão Preto";"";"";"R. Rangel Pestana - Vila Virgínia (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"35";"Monteiro Lobato Papelaria e Livraria";"Monteiro Lobato Papelaria e Livraria";"NOVO";"";"(16) 3966-1263";"";"Papelaria e livraria";"Ribeirão Preto";"";"";"R. Cel. Camisão - Vila Monte Alegre (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"36";"Marcos Eletricista";"Marcos Eletricista";"NOVO";"";"(16) 3043-3889";"";"Instalações elétricas";"Ribeirão Preto";"";"";"Trav. Eloísa - Campos Elíseos (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
"37";"Ponto da Eletricidade";"Ponto da Eletricidade";"NOVO";"";"(16) 3636-5665";"";"Materiais elétricos";"Ribeirão Preto";"";"";"R. Bartolomeu de Gusmão - Vila Tibério (busca pública, lote 06). Telefone não confirmado por ligação.";"Busca web set/2026"
